Adószám,Szervezet neve,Székhely,Új kategória (legalsó szint),Szülő kategória,Cél (első 200 karakter)
18848153,Aktív Comenius Kulturális és Sportegyesület,"8000 Székesfehérvár, Koppány utca 2. a.",művészeti szervezetek,kultúra és művészet,"Főként, de nem kizárólagosan a Fejér vármegyei településeken élő, zenét és ének-zenét, énekkaréneklést kedvelő amatőr énekesek, amatőr sportolók, úgymint a gyermek, az utánpótlás korú, és a felnőtt, v"
18848218,Flüei Miklós Alapítvány,"6034 Helvécia, Etel köz 8.",települési és közösségfejlesztés,szociális segítségnyújtás,Helvécián és vonzáskörzetében lakók életminőségének javítása.
18848335,"""Kóbor Szívek"" Állatmentő és Környezetvédő Alapítvány","5300 Karcag, Sándor utca 6.",kutyák,környezet- és állatvédelem,"Az elkóborolt, elveszett, sérült állatok mentése közvetlen észlelések vagy jelzések esetén. Állatok gyepmesteri telepről vagy rossz tartási körülmények közül való mentése. A talált állatok gazdához tö"
18848373,Pozitív Élet Alapítvány,"2225 Üllő, Gyömrői út 96.",mentális egészség és szenvedélybetegségek,szociális segítségnyújtás,"A Pozitív Élet Alapítvány feladatának a HIV-fertőzőttek, AIDS-betegek, valamint hozzátartozóik pszichés és testi jólétének elősegítésére, szűkebb és tágabb környezetében a kirekesztettség oldására, me"
18848414,Terra Sancta Alapítvány,"1146 Budapest, Hermina utca 23.",egyházhoz kötődő szociális szervezetek,szociális segítségnyújtás,"Az alapítvány közvetett célja az ősi eredetű, a pápák által újjászervezett, napjainkban az Apostoli Szentszék kegyes pártfogása alatt álló Jeruzsálemi Szent Sír Lovagrend karitatív, kulturális és szoc"
18848548,Tegyünk Vaszarért Egyesület,"8542 Vaszar, Vasút utca 39.",települési és közösségfejlesztés,szociális segítségnyújtás,"Az Egyesület alapvetően kulturális,közösségformáló céllal alakul meg. Az egyesület célja, Hogy találkozási és együttműködési lehetőséget teremtsen a település lakói, a települést támogató vállalkozók "
18848878,Műhelyvilág Alapítvány,"8000 Székesfehérvár, Prohászka Ottokár utca 34. 1./2.",fogyatékkal élők segítése,szociális segítségnyújtás,"a) A Fejér megyében élő, sajátos nevelési igényű (tanulásban akadályozott, értelmileg akadályozott, mozgáskorlátozott, látássérült, hallássérült, autizmussal élő), halmozottan hátrányos helyzetű, vesz"
18849109,TAMINA Lovas és Sport Egyesület,"5440 Kunszentmárton, Csongrádi út 68.",más konkrét állatfajok,környezet- és állatvédelem,"Az egyesület elsődleges célja a lovas sportok és a lovas kultúra népszerűsítése, különösen gyermekek és fiatalabb korosztályok körében. A ló és az ember között kialakult sokrétű kapcsolat - különös te"
18849147,Barlangkutató Búvár és Természetvédő Társaság,"1027 Budapest, Margit körút 58. 2./7.",speciális mentőszervezetek,katasztrófavédelem és közbiztonság,"Az egyesület célja a feltáró és tudományos jellegű barlangkutatás, a sportcélú barlangjárás, barlangi búvármerülés, a környezet, valamint a természeti értékek védelme, a természeti örökség megóvása. A"
18849161,Pécsi Autizmus Alapítvány,"7621 Pécs, Kis Flórián utca 2.",fogyatékkal élők segítése,szociális segítségnyújtás,"1./ Autista gyermekek (életkor: 2-18 év) számára egyéni fejlesztő központ létrehozása, ahol személyre szabott képzésben, fejlesztésben van részük. A fejlesztő központ közösen alkalmazza az autista spe"
18849329,Szabadifürdő és Sóstóért Alapítvány,"8600 Siófok, Kereszt utca 5.",települési és közösségfejlesztés,szociális segítségnyújtás,"Siófok város Szabadifürdő és Sóstó városrészének településfejlesztése, rendezvények, szabadidős programok szervezése gyermekeknek és felnőtteknek egyaránt, idősek segítése, szociális segítségnyújtás, "
18849477,Észak-Magyarország Veterán Járműveiért Egyesület,"3743 Ormosánya, Fő út 8. 5.",egyéb szabadidős szervezetek,sport és szabadidő,"1. Az Egyesület fő célja: a 70-es, 80-as, 90-es éveinek közlekedését meghatározó járműveinek felkutatása, megőrzése, felújítása. Az Egyesület járműveinek alapját, az Ikarus gyár termékei képezik, de a"
18849501,Fehér Patkó Lovasudvar Sportegyesület,"8000 Székesfehérvár, Olaj utca 24.",sportklubok,sport és szabadidő,"A lovaglás és a lovas versenyek népszerűsítése. Lovas oktatás, lovas versenyekre való felkészítés. Egészséges életmódra nevelés, fiatalok bevonása a lovas sportba, ifjúsági lovasok oktatása, és ezálta"
18849563,CsendBenn Egyesület,"1145 Budapest, Törökőr utca 17-19. IV//18.",egyéb szabadidős szervezetek,sport és szabadidő,"Az egyéni és közös tudatfejlődés elősegítése dr. David R. Hawkins Tanításainak alapulvételével, az Önvalóval összhangban lévő módszerek, technikák, programok segítségével."
18849611,Kulcsár Kutató- Mentőkutyás Szolgálat Alapítvány,"8457 Bakonypölöske, Petőfi Sándor utca 58.",speciális mentőszervezetek,katasztrófavédelem és közbiztonság,"Társadalmilag hasznos, önkéntes tevékenységek kezdeményezése és segítése, ezáltal ellátatlan társadalmi szükségletek kielégítéshez való hozzájárulás a közhasznú feladatok körében. Kiemelten: önkéntes "
18849752,Szentmárton Sportegyesület,"6086 Szalkszentmárton, Alkotmány utca 8.",sportklubok,sport és szabadidő,"Az egészség megőrzését, az egészséges életmódra nevelést széleskörűen átfogó szabadidős tevékenység feltételeinek kialakítása és fejlesztése. Tagjai számára a versenyzésre való felkészítés, a versenye"
18849831,Bátori Old Boys Kulturális és Sportegyesület,"4373 Ömböly, Hunyadi utca 6.",sportklubok,sport és szabadidő,"A Bátori Old Boys Kulturális és Sportegyesület működése, a tömegsporthagyományok - kiemelten a futballhagyományok -, kerékpározás, testedzés ápolása, népszerűsítése, a közösségépítés és a tehetségkuta"
18849879,"""CSAK ELŐRE! A SZEGEDI KÉZILABDÁÉRT"" Egyesület","6725 Szeged, Földmíves utca 8.",sportklubok,sport és szabadidő,Az egészséges életmód és a szabadidősport (tömegsport) gyakorlása feltételeinek megteremtésében való közreműködés. A rasszizmus visszaszorításában való közreműködés. A MOL-Pick Szeged Kézilabda csapat
18849927,Kisfaludi Vadaspark Egyesület és Baráti Kör,"9341 Kisfalud, . Hrsz.310.",állatkertek,környezet- és állatvédelem,"Az egyesület célja a Kisfalud község területén fekvő vadaspark és állatkert fenntartása, kulturális és gazdasági szempontból egyaránt. Turizmus fellendítése. A környéken élő gyermekek és családok hasz"
18850147,"Paks ""Polgári Iskola"" a tanulókért, szebb, emberibb környezetért Közhasznú Alapítvány","7030 Paks, Deák F. utca 1.",általános iskolák,oktatás,"- A paksi „Polgári iskola” felújított műemléképületének é környékének méltó ápolása, szépítése. - A „Polgári iskola” ünnepségeihez kapcsolódó megemlékezések megrendezése. - A paksi „Polgári Iskola” ér"
18850219,Tolna Megyei Baleseti Alapítvány,"7100 Szekszárd, Béri B. Á. utca 5-7.",egyéb felnőtt egészségügy,felnőtt egészségügy,"A betegellátás szinvonalának emelése, csipő- és trédprotézisek beültetésének támogatása, és ezekhez kapcsolódó tudományos kutatás, konferenciák szervezése."
18850343,Juhász Anna Alapítvány,"7130 Tolna, Eötvös utca 7.",egyéb oktatási szervezetek,oktatás,"2.1.1. Vöröskeresztes szakkör támogatása 2.1.2. Vöröskeresztes szakkörben legeredményesebben tevékenykedő tanulók támogatása. Az alapító kifejezett kérése, hogy minden évben 9 tanuló kerüljön be a tám"
18850518,"""Felnövekvő Nemzedékért"" Alapítvány","7054 Tengelic, Petőfi u. 2.",általános iskolák,oktatás,"Tanulói versenyeken, pályázatokon való részvétel, az év tanulója vándordíját elnyert tanuló támogatása, kulturális sport, gyermeknapi rendezvények díjainak kitűzése, kirándulások, táborozások, színház"
18850587,"""JALINGVA"" József Attila Általános Iskola Idegen nyelv Tanításért Alapítvány","7200 Dombóvár, Fő utca 42-44.",általános iskolák,oktatás,"Az iskola tanulói körében az idegen nyelv tanulásának az ösztönzése, külföldi iskolákkal egyeüttműködés, diákcserék támogatása, nyelvtanárok külföldi nyelgyakorlásának támogatása, iskolai és iskolán k"
18850594,Tűzvirág Táncegyesület Paks,"7030 Paks, Babits Mihály utca 10. 1.emelet/2.",művészeti szervezetek,kultúra és művészet,
18850831,Sporttal a Jövőért Alapítvány,"7030 Paks, Eötvös utca 14.",sportklubok,sport és szabadidő,"Sportolók támogatása, sportolás fellendítése, szervezése alapvetően kajak-kenu sportágban. Tehetséges sortolók támogatása eszközökkel és felkészülési hozzájárulással. az alapítvány célja a kajak-kenu "
18850989,Szekszárdi Református Alapítvány,"7100 Szekszárd, Kálvin tér 12.",vallási szervezetek,kultúra és művészet,"Református hitéleti rendevények, ökumenikus alkalmak, egyházközségi intézmények fenntartásának támogatása."
18851014,Korszerű Iskoláért Alapítvány Iregszemcse,"7095 Iregszemcse, Móricz Zs. utca 8.",általános iskolák,oktatás,"iskolai számítógéppark kialakítása, audiovizuális eszközökkel ellátása"
18851045,"""Ifjú Muzsikusokért"" Alapítvány","7090 Tamási, Gárdonyi utca 20.",művészeti szervezetek,kultúra és művészet,Tehetséges szólisták és zenei csoportok működési feltételeinek javítása.
18851478,Tevel Községi Önkéntes Tűzoltóegyesület,"7181 Tevel, Fő utca 281.",tűzoltó egyesületek,katasztrófavédelem és közbiztonság,"Ápolni haladó tűzoltó hagyományokat, óvni ez egyesület régi tűzoltó eszközeit, emléktárgyait; elősegíteni az iskolarendszerű képzésben a tűzvédelmi tananyagok oktatását; a tűzoltóságok hagyományainak "
18851973,"""Zombai gyermekeinkért"" Alapítvány","7173 Zomba, Rákóczi utca 80.",általános iskolák,oktatás,Zombai iskola támogatása
18852156,Bonyhádi Önkéntes Tűzoltó Közhasznú Egyesület,"7150 Bonyhád, Táncsics utca 2.",tűzoltó egyesületek,katasztrófavédelem és közbiztonság,
18852596,"Bonyhádi Kórház Sebészete ""kényszer-","7150 Bonyhád, Bajcsy-Zs. u. 25.",kórházak,felnőtt egészségügy,Betegség megelőző és gyógyító célú tárgyi eszközök beszerzésének támogatása.
18852613,BÖLCSŐ Alapítvány,"1094 Budapest, Berzenczey utca 33-37. A 1/8.",családalapítást segítő szervezetek,szociális segítségnyújtás,"Ellehetetlenült élethelyzetű várandós anyák segítése, a megszületett gyermek sorsának rendezésében segítségnyújtás."
18852819,Kisbarát Alapítvány,"7200 Dombóvár, Juhász Gyula utca 8.",óvodák,oktatás,A dombóvári Árpád-házi Szent Erzsébet katolikus Óvoda nevelő munkájának fejlesztését szolgáló korszerű feltételek megteremtésének támogatása.
18852888,Tehetségért- és Képességfejlesztésért Alapítvány,"7090 Tamási, Szabadság utca 38-40.",általános iskolák,oktatás,A Tamási 1.sz. Általános Iskola tanulóinak oktatásának összefüggő tevékenység támogatása.
18853470,"""Óvodásainkért"" Alapítvány","7090 Tamási, Béri Balogh Ádám utca 1-3.",óvodák,oktatás,"Az óvodai nevelés rendszerében megvalósuló feladatokhoz az eszközkészlet felújítása és beszerzése, tornaeszközök, kéziszerek pótlása. Óvodai rendezvények finanszírozása, kirándulások, tanulmányi utak,"
18853511,Tolna Megye Természeti Értékeiért Alapítvány,"7200 Dombóvár, Dombó Pál utca 42/A.",környezet- és természetvédelem,környezet- és állatvédelem,"- Tolna megye természeti értékeinek megóvása, - természetvédelmi nevelés, - biodiverzitás fenntartása és az ezzel összefüggő tevékenységek ellátása, támogatása."
18853559,Garay János Gimnázium Centenáriuma Alapítvány,"7100 Szekszárd, Szent István tér 7-9.",gimnáziumok,oktatás,"A szekszárdi Garay J. Gimnázium diákjainak, az iskolában folyó oktató-nevelő munkának a támogatása."
18853717,A Szekszárdi Szülészetért Alapítvány,"7100 Szekszárd, Béri Balogh Ádám utca 5-7.",női egészségügy,felnőtt egészségügy,"A Szekszárdi Szülészeti Osztály szakmai színvonalának megőrzése, javítása"
18853748,A Pálfai Otthonban Élő Értelmileg Sérült Emberekért Alapítvány,"7026 Pálfa, Alkotmány utca 20",fogyatékkal élők segítése,szociális segítségnyújtás,"A Pálfai Fogyatékosok otthona és rehabilitációs intézménye jogutódjának a Tölgyfa Fogyatékosok Otthona lakói életkörülményeinek, életminőségének, lakhatásának javítása, foglalkoztatásuk elősegítése, a"
18853858,Tamási Kézilabda Club,"7090 Tamási, Bajcsy-Zsilinszky utca 33.",sportklubok,sport és szabadidő,"Tagjai részére rendszeres sportolási lehetőség biztosítása, sportbeli képzés lehetővé tétele, hazai és nemzetközi sportesemények megrendezése, sportolói utánpótlásról való gondoskodás."
18853944,Kaposszekcső Gyermekeiért,"7361 Kaposszekcső, Táncsics utca 22.",hátrányos helyzetű gyerekek támogatása,szociális segítségnyújtás,Kaposszekcső közigazgatási területén lakó gyerekek tnaulmányainak támogatása.
18854024,I. Béla Alapítvány,"7100 Szekszárd, Kadarka utca 25-27.",általános iskolák,oktatás,"Az idegen nyelvek oktatásának segítése, külföldi kapcsolatok révén, kiemelkedő teljesítményt nyújtó tanulók jutalmazása."
18854093,Pór Apát Alapítvány,"7150 Bonyhád, Szabadság tér 11.",vallási szervezetek,kultúra és művészet,"A bonyhádi RK. Temetőben ravatalozó építése, a templom karbantartási munkáinak támogatása."
18854330,Tamási Fúvós Egylet,"7090 Tamási, Rákóczi utca 51.",művészeti szervezetek,kultúra és művészet,"Tamásiban és a térségében élő zenészek számára zenélési lehetőség biztosítása és zenei kultúra terjesztése helyi, országos és nemzetközi szintü koncerteket, zenei rendezvények, kultúrális bemutatók ál"
18854495,Gyermekemért Alapítvány,"7030 Paks, Villany utca 2.",hátrányos helyzetű gyerekek támogatása,szociális segítségnyújtás,"A Pakson és a paksi járásban élő tartós beteg, fogyatékos, sajátos nevelési igényű gyermekek testi és lelki fejlődésének támogatása. Olyan terápiás lehetőségekhez történő hozzájutásának segítése, amel"
18854598,Ifjúsági Unió Szekszárd,"7100 Szekszárd, Szent István tér 10.",egyéb szabadidős szervezetek,sport és szabadidő,"Dél-dunántúl meghatározó civil szervezeteként arra törekszik, hogy régiókban értéknek, minőségi életnek számítson a természettel, környezettel való összhangban élés, a közösséghez tartozás, a közérdek"
18854660,"Gyermekeinkért, Jövőnkért Alapítvány","7030 Paks, Tolnai u. 19.",általános iskolák,oktatás,"A paksi Deák Ferenc Ált. Isk. tanuló, működése támogatása."
18855025,ÁKOM-BÁKOM Alapítvány,"7100 Szekszárd, Mátyás király utca 1.",óvodák,oktatás,"Az Illyés Gyula Pedagógiai Főiskola Gyakorló Óvodája óvódás gyrrmekei és a kollégiumi hallgatók egészségmegőrző és képességfejlesztő cél teevékenységeinek támogatása olyan területeken, melyek az oktat"
18855104,Nagycsaládosok Tolnai Egyesülete,"7130 Tolna, Akácfasor utca 12.",családalapítást segítő szervezetek,szociális segítségnyújtás,"1. Értékeink felmutatása - a ""családnak"", mint a társadalom legkisebb egysége - fontosságának hangsúlyozása. 2. Az egyesületbe belépett egymást segítő nagycsaládosok érdekeinek képviselete. 3. A nagyc"
18855142,Együtt a Korszerű Oktatásért Alapítvány,"7020 Dunaföldvár, Templom u. 9.",általános iskolák,oktatás,A Dunaföldvári Ált. Isk. és Szakképző Intézet működésének
18855166,"""Puer natus est nobis"" - ""Gyermek adatott nekünk"" Alapítvány","7200 Dombóvár, Hunyadi tér 23.",általános iskolák,oktatás,"Az alapítvány célja, hogy ösztönözze az embereket, azok csoportjait, közösségeit jogi és nem jogi személyeket a gyermekek testi és szellemi nevelésének, fejlődésének, taníttatásának elősegítéséere és "
18855214,Paks Városi Vegyeskar Egyesület,"7030 Paks, Gagarin utca 2.",művészeti szervezetek,kultúra és művészet,"A városi vegyeskar szakmai és szabadidős programjainak szervezése. A folyamatos szakmai továbbképzés koordinálása, szervezése. Versenyek, bemutatók, fesztiválok szervezése és összehangolása, valamint "
18855379,"""Tehetségekért"" Alapítvány","7100 Szekszárd, Szent-Györgyi Albert utca 6.",általános iskolák,oktatás,"A kiemelkedő tanulmányi, kulturális és sportmunkát végző tanulók elismerése, az oktatási, működési feltételek emelése. Az iskolában folyó nevelés és oktatás támogatásával, a tanulók képességeinek soko"
18855403,Dunaföldvári Önkéntes Tűzoltó Egyesület,"7020 Dunaföldvár, Szent Flórián tér 1.",tűzoltó egyesületek,katasztrófavédelem és közbiztonság,"A jogszabályban meghatározott tűzvédelmi feladatok helyi megvalósítása, e feladatok ellátására önként jelentkezők szervezése, egyesítése, az egyesület keretei között a tagok tűzvédelmi szakismeretének"
18855434,Német Nemzetiségi Tánc Egyesület Ungarndeutscher Tenzverein,"7039 Németkér, Rákóczi utca 7.",etnikai szervezetek,kultúra és művészet,hagyományőrzés
18855843,"""Vak Bottyán Tehetséggondozó"" Közalapítvány","7030 Paks, Dózsa Gy. utca 103.",gimnáziumok,oktatás,"A Vak Bottyán Gimnázium alapfeladatain túlmenően a színvonalas működésének segítése, a változó követelményekhez való igazodás feltételeinek megtermetése."
18855867,Kurdi Községi Önkéntes Tűzoltó Egyesület,"7226 Kurd, Petőfi utca 11.",tűzoltó egyesületek,katasztrófavédelem és közbiztonság,Tűzoltás
18855908,Községi Önkéntes Tűzoltó Egyesület Dunaszentgyörgy,"7135 Dunaszentgyörgy, Rákóczi F. utca 90",tűzoltó egyesületek,katasztrófavédelem és közbiztonság,"Az egyesület céljai: a) A tevékenységi területén a tűzesetek megelőzése, közreműködés a tűzoltási és műszaki mentési feladatok ellátásában. b) A lakosság tájékoztatása a tűz elleni védekezés lehetőség"
18855939,Százszorszép Alapítvány,"7200 Dombóvár, III. utca 34.",óvodák,oktatás,"A dombóvári Százszorszép Óvodában a gyermekek egészséges életre nevelése érdekében testnevelés és sport támogatása, az óvoda kulturális és kiegészítő oktatási programjainak támogatása a gyermekek körn"
18855991,"""Margaréta a gyermekekért"" Alapítvány","7200 Dombóvár, Bezerédj utca 2/a.",óvodák,oktatás,"A Margaréta Óvoda nevelő munkájának fejlesztését szolgáló, a korszerű feltételek megteremtésének támogatása."
18856064,"""Völgység"" Turista Egyesület","7150 Bonyhád, Asztalos utca 18.",egyéb szabadidős szervezetek,sport és szabadidő,Bonyhád város és vonzáskörzete lakosságának rendszeres túrázási és sportolási programok biztosítása.
18856112,Nyitott Világ Alapítvány,"7100 Szekszárd, Béla tér 6.",gimnáziumok,oktatás,A Garay Gimnáziumban a nyelvoktatás támogatása.
18856150,"Óvodánkért, Gyermekeinkért Alapítvány","7030 Paks, Vörösmarty utca 9-11.",óvodák,oktatás,A Paksi I. sz. óvoda támogatása.
18856174,KÉK Madár Alapítvány,"7100 Szekszárd, Bartina utca 12/a.",hátrányos helyzetű gyerekek támogatása,szociális segítségnyújtás,"Preventív és korrektív szolgáltatások nyújtása gyermekeknek és családjaiknak az optimális családi élet kialakítása, elérése érdekében . Folyamatosan tevékenykedik a munkaerő piacon hátrányos helyzetű "
18856387,"""Bátaszéki Árva Gyermekekért"" Közalapítvány","7140 Bátaszék, Szabadság utca 4.",gyermekvédelem,szociális segítségnyújtás,"A város közig. területén élő árva gyermekek közép- és felsőfokú tanintézetek nappali tagozatán folytatott tanulmányainak anyagi támogatása nyelvtanulásának anyagi támogatása, iskolai kirándulásokon, t"
18856442,Györkönyi Önkéntes Tűzoltó Egyesület,"7045 Györköny, Fő utca 53-55.",tűzoltó egyesületek,katasztrófavédelem és közbiztonság,"A tűz ellni védekezésről, a műszaki mentésről és tűzoltóságról szóló 1996. évi XXXI. törvény (Tvt.) 33. § (1)-(2) bekezdéseire figyelemmel a székhely településen és a környező településeken tűzmegelőz"
18856466,Szekszárdi Evangélikus Alapítvány,"7100 Szekszárd, Luther tér 1.",egyházhoz kötődő szociális szervezetek,szociális segítségnyújtás,"- a Szekszárdi Evangélikus Gyülekezet anyagi és lelki életének segítése, szociális helyzetük miatt segítségre szorulók támogatása, - a lelki bajokban szenvedők gondozásának elősegítése, - a hitoktatás"
18856497,"""Mesevár"" Alapítvány az Ifjúság út 6.sz. alatti óvodáért","7030 Paks, Ifjúság utca 6.",óvodák,oktatás,az óvoda támogatása
18856514,Hegyhát Integrált Szociális Intézmény Ellátottaiért Alapítvány,"7064 Gyönk, Táncsics Mihály utca 472.",idősek gondozása,szociális segítségnyújtás,"A hegyhát integrált szociális intézmény ellátottaiért alapítvány munkájának, fejlesztésének külső támogatása, a gondozottak életminőségének javítása, az időskorú önhibájukon kívül magukat ellátni nem "
18856583,Gyermekmosoly Alapítvány a bölcsődei nevelésért,"7030 Paks, Ifjúság (Paksi Bóbita Bölcsőde) utca 4.",óvodák,oktatás,a Módszertani Bölcsőde támogatása
18856686,"""Lépjünk együtt"" Alapítvány a Kishegyi úti Óvodáért","7030 Paks, Kishegyi utca 58.",óvodák,oktatás,az óvoda támogatása
18856734,"Gyermekparadicsom Alapítvány a Paks, Eötvös utcai Óvodáért","7030 Paks, Eötvös utca 7.",óvodák,oktatás,Az óvoda támogatása
18856813,Löfan Mazsorett Csoport,"7020 Dunaföldvár, Ilona utca 9.",művészeti szervezetek,kultúra és művészet,"a.) Az ifjúság mozgáskultúrájának, esztétikai érzékének, mozgásos kifejező készségének fejlesztése. b.) A közösségi szellem, az ennek megfelelő mozgáskultúra fejlesztése. c.) A mozgásművészet történet"
18856916,Bölcskei Gyermekekért Közalapítvány,"7025 Bölcske, Paksi u. 18.",egyéb oktatási szervezetek,oktatás,"Óvodai, iskolai oktatáshoz támogatás,s tehetséges diákok támogatása"
18856954,Szekszárdi Elektrogáz Sportkör,"7100 Szekszárd, Keselyűsi út 2. 4008/3. hrsz",sportklubok,sport és szabadidő,sport
18857223,B.J. Betegápolásért Alapítvány,"7100 Szekszárd, Béri Balogh Ádám utca 5-7.",beteg emberek lelki és szociális támogatása,szociális segítségnyújtás,"A betegápolás színvonalának emelése, minőségi ápolás megvalósítása."
18857405,Rotary Club Szekszárd,"7100 Szekszárd, Széchenyi utca 32. I/1.",rászorulók segítése,szociális segítségnyújtás,"Az önzetlen szolgálat, a segítőkészség a mindennapi életben. Olyan szervezet működtetése, amelynek tevékenysége a mindennapi életben megvalósított segítőkészségen alapul."
18857515,Gyermekeink javára Alapítvány,"7045 Györköny, Fő utca 48.",egyéb oktatási szervezetek,oktatás,A györkönyi diákok támogatása.
18857584,A paradicsomi gyermekekért Alapítvány,"7173 Zomba, Paradicsom- puszta 3.",hátrányos helyzetű gyerekek támogatása,szociális segítségnyújtás,"Az iskola és az iskolán kívüli kulturális és szabadidős programok támogatása, tanulmányi és egyéb versenyek költségeihez hozzájárulás, győztesek díjazása. Diák-sportversenyek, az iskola tanulói rendsz"
18857632,Tolna Megyei Állat- és Természetvédő Alapítvány,"7100 Szekszárd, Kilátó utca 31.",kutyák,környezet- és állatvédelem,"-a Szekszárdi Állatotthon fenntartása, üzemeltetése -közreműködés az állatvédelemmel kapcsolatos feladatok végrehajtásában -közreműködés az országos környezetvédelmi feladatok végrehajtásában -az álla"
18857687,"""A Diákokért"" Alapítvány","7100 Szekszárd, Béri Balogh Ádám utca 89.",egyéb oktatási szervezetek,oktatás,"A tehetséges, ill. szociálisan rászorult gyermekek jutalmazása, felkészítő pedagógusok jutalmazása"
18857704,Gumiipari Szövetkezet Nyugdíjasait Támogató Alapítvány,"7020 Dunaföldvár, Kossuth utca 13.",idősek gondozása,szociális segítségnyújtás,"Anyagi segítségnyújtás a szövetkezet állományából nyugdíjba került személyeknek, tanácsadás és segítvégnyújtás ügyeik intézéséhez"
18857766,"""Kränzlein"" Néptánc Egyesület","7150 Bonyhád, Bartók B. utca 20/a.",etnikai szervezetek,kultúra és művészet,
18857773,Szekszárd Asztalitenisz Club,"7100 Szekszárd, Keselyűsi út 3.",sportklubok,sport és szabadidő,Sporttevékenység
18857955,Madocsai Tehetséggondozó Közalapítvány,"7026 Madocsa, Kossuth utca 2.",általános iskolák,oktatás,"- a tehetséges tanulók képességeinek fejlesztése, az egyéni és csoportos foglalkozások személyi és tárgyi feltételeinek biztosítása, - a hátrányos helyzetű diákok esélyegyenlőségének megteremtése, - a"
18858341,Váczikai Cerberus Alapítvány,"7030 Paks, Árnyas utca 4. II./7.",kutyák,környezet- és állatvédelem,"Paks városban a kóbor ebek összeszedése, gondozása."
18858406,"""SIMONTORNYÁÉRT"" Közalapítvány","7081 Simontornya, Szent István király utca 1.",települési és közösségfejlesztés,szociális segítségnyújtás,A helyi önkormányzatokról szóló 1990. LXV.tv. 8.paragrafus. (1) bekezdésében felsorolt közfeladatok ellátásának folyamatos biztosítása.
18858822,Bátaszéki Székelyek Baráti Köre,"7140 Bátaszék, Kossuth Lajos utca 25.",etnikai szervezetek,kultúra és művészet,"A bukovinai székely hagyományok fennmaradásának biztosítása. Az egyesület célja, hogy a II. világháború után Bátaszékre telepített bukovinai székelyek identitásának megőrzését, szellemi és tárgyi kult"
18859067,Négy Évszak Waldorf-pedagógiai Alapítvány,"7100 Szekszárd, Rákóczi utca 132.",általános iskolák,oktatás,"Waldorfpedagógiai rendszerű óvoda alapítása, fenntartása. Óvodai nevelésre épülő általános iskola alapítása és fenntartása, a működéshez szükséges személyi, tárgyi szervezési feladatok személyi és any"
18859074,"""Kisszékelyi"" Kulturális Egyesület","7082 Kisszékely, Szabadság utca 409.",települési és közösségfejlesztés,szociális segítségnyújtás,"Az egyesület fő céljai: a. Kisszékely község fejlesztése, szépítése. b. Közösségi rendezvények szervezése. c. Civil kezdeményezések felkarolása. d. Kisszékely község jó hírének öregbítése. e. Kulturál"
18859201,"""Az iskolás gyermekekért"" Alapítvány","7064 Gyönk, Ifjúsági lakótelep 11.",általános iskolák,oktatás,"Az oktatás terén: a kiemelkedő tanuló teljesítmény jutalmazása, iskolai pályázatok kiírása, díjazása, tanulmányi versenyek szervezése, díjazása, az oktatás tárgyi feltételeinek külső forrásból történő"
18859263,Paks és Környéke Mentéséért Közalapítvány,"7030 Paks, Tolnai utca 139.",helyi mentő szervezetek,katasztrófavédelem és közbiztonság,"mentéshez való eszközök beszerz. mentést végzők továbbképzése hírközlő eszközök bővítése, fejlesztése, számítástch. eszközök"
18859414,"""STROKE"" Alapítvány","7100 Tolna Megyei Balassa János Kórház Szekszárd, Béri B. Á. utca 5-7.",egyéb felnőtt egészségügy,felnőtt egészségügy,"az agyi-, keringési betegségben szenvedők segítése"
18859452,"""Madocsai Óvodásokért"" Közalapítvány","7026 Madocsa, Paksi utca 19.",óvodák,oktatás,"4.1. az óvoda nevelő- és oktatómunkájához szükséges eszközök, technikai berendezések beszerzése, bővítése, 4.2. az óvoda játék- és porteszközeinek bővítése, 4.3. óvodai programok költéséhez való hozzá"
18859713,"""Energetikai Szakképzési Intézet Szakképzéséért"" Alapítvány","7030 Paks, Dózsa Gy. utca 95.",felnőttképzés,oktatás,Az intézet iskola rendszeren kívüli szakképzésének járulékos tevékenységeinek támogatása
18859768,Csillag Show-tánc Egyesület,"7030 Paks, Domb utca 77.",művészeti szervezetek,kultúra és művészet,"Régi és új értékek felkutatása, megóvása. Támogatja és megszervezi kulturális, sport, tánc és szabadidős programok létrejöttét, lebonyolítását. Kapcsolatokat tart a városi, országos és határon túli ku"
18859940,PLATÁN Szociális Alapítvány,"7191 Hőgyész, Rózsafa utca 6.",rászorulók segítése,szociális segítségnyújtás,Karitatív segítségnyújtás.
18860050,Alsónyéki Népi Hagyományőrző Alapítvány,"7148 Alsónyék, Fő utca 6.",etnikai szervezetek,kultúra és művészet,"Népi hagyományok megőrzéséhez, továbbörökítéséhez, személyi és tárgyi feltételei megteremtéséhez támogatás biztosítása. A népi hagyományok felkutatásához, rendszerezéséhez, gyűjtemények kialakításához"
18860081,Esőemberkék Alapítvány,"7100 Szekszárd, Szentmiklósi utca 9.",fogyatékkal élők segítése,szociális segítségnyújtás,Az alapítvány célja az esélyegyenlőség megteremtésének támogatása halmozottan sérült gyermekek és felnőttek számára.
18860108,Tamási és Környéke Mentő Alapítvány,"7090 Tamási, Szabadság utca 86/a.",helyi mentő szervezetek,katasztrófavédelem és közbiztonság,"A mentésben használatos műszerek beszerzése, a mentésben dolgozók továbbképzése."
